value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.38916, -4.27497, -3.94316, -2.91281, -2.67122, -1.78107, -1.37668, -1.08482, -1.07194, -0.0374328, 0.298497, 1.58392, 2.73608, 4.0215, 4.35743, 5.39194, 5.40482, 5.69668, 6.10107, 6.99122, 7.23281, 8.26316, 8.59497, 9.70916
-5.39585, -4.28138, -3.9234, -2.89459, -2.67744, -1.80583, -1.35992, -1.10222, -1.07844, -0.0412777, 0.316498, 1.58516, 2.73484, 4.0035, 4.36128, 5.39844, 5.42222, 5.67992, 6.12583, 6.99744, 7.21459, 8.2434, 8.60138, 9.71585
-5.40241, -4.28765, -3.90354, -2.8763, -2.68352, -1.8306, -1.34312, -1.11978, -1.0848, -0.0456001, 0.334554, 1.58605, 2.73395, 3.98545, 4.3656, 5.4048, 5.43978, 5.66312, 6.1506, 7.00352, 7.1963, 8.22354, 8.60765, 9.72241
-5.40882, -4.29379, -3.88359, -2.85794, -2.68947, -1.85537, -1.32627, -1.13748, -1.09102, -0.0503909, 0.352661, 1.58657, 2.73343, 3.96734, 4.37039, 5.41102, 5.45748, 5.64627, 6.17537, 7.00947, 7.17794, 8.20359, 8.61379, 9.72882
-5.4151, -4.2998, -3.86354, -2.8395, -2.6953, -1.88014, -1.30939, -1.15532, -1.09711, -0.0556408, 0.370818, 1.58669, 2.73331, 3.94918, 4.37564, 5.41711, 5.47532, 5.62939, 6.20014, 7.0153, 7.1595, 8.18354, 8.6198, 9.7351
-5.42123, -4.30567, -3.8434, -2.821, -2.70099, -1.90491, -1.29247, -1.1733, -1.10306, -0.06134, 0.389023, 1.58639, 2.73361, 3.93098, 4.38134, 5.42306, 5.4933, 5.61247, 6.22491, 7.02099, 7.141, 8.1634, 8.62567, 9.74123
-5.42722, -4.3114, -3.82317, -2.80242, -2.70656, -1.92967, -1.27551, -1.19141, -1.10887, -0.0674788, 0.407274, 1.58565, 2.73435, 3.91273, 4.38748, 5.42887, 5.51141, 5.59551, 6.24967, 7.02656, 7.12242, 8.14317, 8.6314, 9.74722
-5.43307, -4.317, -3.80285, -2.78378, -2.71199, -1.95443, -1.25851, -1.20965, -1.11455, -0.0740469, 0.425569, 1.58445, 2.73555, 3.89443, 4.39405, 5.43455, 5.52965, 5.57851, 6.27443, 7.03199, 7.10378, 8.12285, 8.637, 9.75307
-5.43877, -4.32246, -3.78244, -2.76508, -2.71729, -1.97918, -1.24149, -1.22801, -1.12009, -0.0810344, 0.443906, 1.58277, 2.73723, 3.87609, 4.40103, 5.44009, 5.54801, 5.56149, 6.29918, 7.03729, 7.08508, 8.10244, 8.64246, 9.75877
-5.44434, -4.32779, -3.76194, -2.7463, -2.72246, -2.00393, -1.24648, -1.22443, -1.12549, -0.0884308, 0.462282, 1.5806, 2.7394, 3.85772, 4.40843, 5.44549, 5.54443, 5.56648, 6.32393, 7.04246, 7.0663, 8.08194, 8.64779, 9.76434
-5.44976, -4.33298, -3.74134, -2.7275, -2.72747, -2.02866, -1.26507, -1.20734, -1.13075, -0.0962257, 0.480695, 1.57793, 2.74207, 3.83931, 4.41623, 5.45075, 5.52734, 5.58507, 6.34866, 7.04747, 7.0475, 8.06134, 8.65298, 9.76976
-5.45504, -4.33804, -3.72066, -2.73241, -2.70857, -2.05338, -1.28377, -1.19023, -1.13588, -0.104409, 0.499143, 1.57474, 2.74526, 3.82086, 4.42441, 5.45588, 5.51023, 5.60377, 6.37338, 7.02857, 7.05241, 8.04066, 8.65804, 9.77503
-5.46017, -4.34296, -3.69989, -2.73719, -2.68961, -2.07809, -1.30256, -1.17309, -1.14087, -0.11297, 0.517623, 1.57102, 2.74898, 3.80238, 4.43297, 5.46087, 5.49309, 5.62256, 6.39809, 7.00961, 7.05719, 8.01989, 8.66296, 9.78017
-5.46516, -4.34774, -3.67904, -2.74183, -2.67058, -2.10278, -1.32146, -1.15593, -1.14572, -0.121898, 0.536133, 1.56677, 2.75323, 3.78387, 4.4419, 5.46572, 5.47592, 5.64146, 6.42278, 6.99058, 7.06183, 7.99904, 8.66774, 9.78516
-5.47001, -4.35238, -3.6581, -2.74634, -2.6515, -2.12746, -1.34045, -1.15043, -1.13874, -0.131183, 0.55467, 1.56199, 2.75801, 3.76533, 4.45118, 5.45874, 5.47043, 5.66045, 6.44746, 6.9715, 7.06634, 7.9781, 8.67238, 9.79001
-5.47472, -4.35689, -3.63707, -2.75072, -2.63236, -2.15212, -1.35953, -1.155, -1.12154, -0.140815, 0.573232, 1.55666, 2.76334, 3.74677, 4.46081, 5.44154, 5.475, 5.67953, 6.47212, 6.95236, 7.07072, 7.95707, 8.67689, 9.79472
-5.47928, -4.36127, -3.61596, -2.75497, -2.61317, -2.17676, -1.3787, -1.15943, -1.10432, -0.150783, 0.591815, 1.55079, 2.76921, 3.72819, 4.47078, 5.42432, 5.47943, 5.6987, 6.49676, 6.93317, 7.07497, 7.93596, 8.68127, 9.79928
-5.4837, -4.3655, -3.59476, -2.75908, -2.59391, -2.20137, -1.39795, -1.16372, -1.08709, -0.161078, 0.610417, 1.54439, 2.77561, 3.70958, 4.48108, 5.40709, 5.48372, 5.71795, 6.52137, 6.91391, 7.07908, 7.91476, 8.6855, 9.8037
-5.48798, -4.3696, -3.57348, -2.76306, -2.5746, -2.22597, -1.41728, -1.16788, -1.06985, -0.171688, 0.629034, 1.53745, 2.78255, 3.69097, 4.49169, 5.38985, 5.48788, 5.73728, 6.54597, 6.8946, 7.08306, 7.89348, 8.6896, 9.80798
-5.49211, -4.37356, -3.55212, -2.7669, -2.55524, -2.25054, -1.43668, -1.17189, -1.0526, -0.182606, 0.647664, 1.52998, 2.79002, 3.67234, 4.50261, 5.3726, 5.49189, 5.75668, 6.57054, 6.87524, 7.0869, 7.87212, 8.69356, 9.81211
-5.4961, -4.37738, -3.53067, -2.77062, -2.53583, -2.27509, -1.45616, -1.17577, -1.03534, -0.193819, 0.666304, 1.52199, 2.79801, 3.6537, 4.51382, 5.35534, 5.49577, 5.77616, 6.59509, 6.85583, 7.09062, 7.85067, 8.69738, 9.8161
