value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.65983, -6.53198, -5.5943, -4.92437, -4.59674, -4.5243, -3.67507, -3.35222, -3.09219, -2.36346, -1.38974, -0.512681, 0.512681, 1.38974, 2.36346, 3.09219, 3.35222, 3.67507, 4.5243, 4.59674, 4.92437, 5.5943, 6.53198, 7.65983
-7.6631, -6.53511, -5.57247, -4.92743, -4.57709, -4.54866, -3.69478, -3.35541, -3.07477, -2.37588, -1.37014, -0.529769, 0.529769, 1.37014, 2.37588, 3.07477, 3.35541, 3.69478, 4.54866, 4.57709, 4.92743, 5.57247, 6.53511, 7.6631
-7.66622, -6.53811, -5.55057, -4.93036, -4.573, -4.5574, -3.71454, -3.35846, -3.05735, -2.38857, -1.35052, -0.547029, 0.547029, 1.35052, 2.38857, 3.05735, 3.35846, 3.71454, 4.5574, 4.573, 4.93036, 5.55057, 6.53811, 7.66622
-7.6692, -6.54097, -5.52859, -4.93315, -4.5973, -4.53766, -3.73435, -3.36137, -3.03995, -2.4015, -1.33088, -0.564454, 0.564454, 1.33088, 2.4015, 3.03995, 3.36137, 3.73435, 4.53766, 4.5973, 4.93315, 5.52859, 6.54097, 7.6692
-7.67203, -6.54369, -5.50653, -4.9358, -4.62156, -4.51788, -3.7542, -3.36414, -3.02256, -2.41467, -1.31121, -0.582036, 0.582036, 1.31121, 2.41467, 3.02256, 3.36414, 3.7542, 4.51788, 4.62156, 4.9358, 5.50653, 6.54369, 7.67203
-7.67472, -6.54627, -5.48441, -4.93832, -4.64579, -4.49806, -3.7741, -3.36677, -3.00519, -2.42808, -1.29153, -0.59977, 0.59977, 1.29153, 2.42808, 3.00519, 3.36677, 3.7741, 4.49806, 4.64579, 4.93832, 5.48441, 6.54627, 7.67472
-7.67726, -6.54871, -5.4622, -4.9407, -4.66998, -4.47821, -3.79404, -3.36925, -2.98784, -2.44171, -1.27184, -0.617647, 0.617647, 1.27184, 2.44171, 2.98784, 3.36925, 3.79404, 4.47821, 4.66998, 4.9407, 5.4622, 6.54871, 7.67726
-7.67966, -6.55101, -5.43993, -4.94295, -4.69413, -4.45832, -3.81402, -3.37159, -2.97052, -2.45555, -1.25213, -0.635662, 0.635662, 1.25213, 2.45555, 2.97052, 3.37159, 3.81402, 4.45832, 4.69413, 4.94295, 5.43993, 6.55101, 7.67966
-7.68191, -6.55318, -5.41758, -4.94506, -4.71824, -4.4384, -3.83404, -3.3738, -2.95323, -2.4696, -1.23242, -0.653807, 0.653807, 1.23242, 2.4696, 2.95323, 3.3738, 3.83404, 4.4384, 4.71824, 4.94506, 5.41758, 6.55318, 7.68191
-7.68402, -6.5552, -5.39516, -4.94704, -4.74232, -4.41844, -3.85408, -3.37586, -2.93597, -2.48384, -1.2127, -0.672077, 0.672077, 1.2127, 2.48384, 2.93597, 3.37586, 3.85408, 4.41844, 4.74232, 4.94704, 5.39516, 6.5552, 7.68402
-7.68598, -6.55708, -5.37267, -4.94888, -4.76634, -4.39845, -3.87416, -3.37777, -2.91875, -2.49828, -1.19297, -0.690466, 0.690466, 1.19297, 2.49828, 2.91875, 3.37777, 3.87416, 4.39845, 4.76634, 4.94888, 5.37267, 6.55708, 7.68598
-7.6878, -6.55883, -5.35012, -4.95058, -4.79033, -4.37844, -3.89426, -3.37955, -2.90157, -2.5129, -1.17325, -0.708966, 0.708966, 1.17325, 2.5129, 2.90157, 3.37955, 3.89426, 4.37844, 4.79033, 4.95058, 5.35012, 6.55883, 7.6878
-7.68947, -6.56044, -5.32749, -4.95215, -4.81427, -4.3584, -3.91439, -3.38119, -2.88443, -2.52769, -1.15353, -0.727573, 0.727573, 1.15353, 2.52769, 2.88443, 3.38119, 3.91439, 4.3584, 4.81427, 4.95215, 5.32749, 6.56044, 7.68947
-7.691, -6.5619, -5.3048, -4.95358, -4.83816, -4.33833, -3.93453, -3.38268, -2.86734, -2.54265, -1.13381, -0.74628, 0.74628, 1.13381, 2.54265, 2.86734, 3.38268, 3.93453, 4.33833, 4.83816, 4.95358, 5.3048, 6.5619, 7.691
